127.0.0.1 - - [13/Apr/2022:11:41:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:41:16 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:41:16 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:41:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:42:33 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:42:33 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:42:33 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:42:33 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:42:33 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:42:33 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:42:49 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:42:49 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:42:49 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:42:49 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:42:49 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:42:49 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:42:49 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:42:49 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:43:05 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:43:05 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:43:05 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:43:05 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:43:05 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:43:05 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:43:06 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:43:06 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:43:29 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:43:29 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:43:53 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:43:53 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:09 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:09 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:10 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:10 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:11 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:11 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:11 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:11 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:11 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
